,num,title
320,1776285,루나가 진짜 개미쳤네 클라스 보여주네
323,1776291,루나 ㅅ ㅅ ㅅ
324,1776292,루나 숏친 흑우병신 없제?
326,1776294,유니스왑 퇴물됐다더니 왜 폴리곤보다 잘가냐?
328,1776296,위믹스가 안오르는건 시체때문이다
345,1776323,속보) 루나 ->>느금마 로 리브랜딩 확정
350,1776330,코인 추천 드간다 비트땜에 눌릴때 매수해라
368,1776357,루나 패드립짤보고 풀숏박은새끼들은 이번기회에 반성해라 ㅋㅋㅋㅋ
409,1776409,솔라나 112000-119500 1100만익절 ㅋㅋ설날용돈꺼억
411,1776412,위믹스 또번지대 만드는중 ㅋㅋㅋ
418,1776421,위믹스 재단에서 안판다고 하지 않았냐?
434,1776443,솔라나112350에잘탔노
439,1776450,자고싶은데 비트 오르는게 재밌어서 잘수가 없네
440,1776452,속보) 워렌 버핏 비트코인에 투자
441,1776453,이더떡상@!@!@!!
483,1776501,와 비트코인 새벳돈준다
489,1776508,와 위믹스 ㅅㅂ놈들 돈싸움장난아닌데
510,1776533,지금 비트 슬슬 호재 올라오네
523,1776549,시발 근데 너무 쳐올려놔서 이더 2600은 오겠냐
524,1776550,슬슬 이오스 다시 사라
531,1776559,루나 이번년도 최저점 아직도 안탔누?
550,1776585,루나 지금 6만원이야 최저점이다
557,1776594,위믹스 만원은 갈까????
565,1776603,ㄷㄷㄷ갓도지
570,1776609,루나 현재 6만원 초반.. 곧 20만원 찍는다
572,1776611,ㅋㅋㅋㅋㅅㅂ 위믹스빨리타라
576,1776616,고수는 지금 알트가 아니라 비트를 잡는다
587,1776629,위믹스 벽뚫음 ㄷㄷ 개그치 부활
593,1776637,루나 22년 최저점이다. 풀매수하면 한강뷰다
610,1776658,걍 루나랑 코스모스 풀매수했다 자러간다
613,1776663,"루나 22년도 최저점, 루나는 신이고 나는 무적이다"
623,1776677,루나 업비트 원상 곧이다 ㅋㅋ
677,1776739,위믹스 오늘 8000 가냐???
679,1776743,알뜨 언제까지 비트차트 따라가냐
684,1776751,플로우 또 쏘네
695,1776764,지금 여기서 숏이 안나오면 비트는 사기다
698,1776768,10년뒤 비트코인 가격
701,1776771,100년뒤 비트코인가격
702,1776772,이제 비트가 약횡보 해줘야 알트 펌핑가지
718,1776799,정직하게 비트 따라 움직이고 있는 코인들
741,1776830,고래들 비트 지갑에 넣는중이당
751,1776845,위믹스 존나 웃음벨이네 ㅋㅋ 광고존나하고 떡락 ㅋ
755,1776852,루나 3배 숏 들어갔다
763,1776865,위믹스가 도지로따지면 머스크가 팔아먹는거아님 ?? ㅋㅋ
772,1776882,와 도지 시발 뭔데
776,1776887,코스모스 루나 둘다 내가 타고 떨어지기 시작함
779,1776895,아니 시발 비트코인 오르면 루나는 왜 떨구냐?
781,1776898,앵커깝친다
786,1776906,22년에 이더가 비트 잡는다 ㅡㅡ
787,1776907,내가위믹스 가지고잇는이유..
807,1776941,위믹스는 대표가 주주 저금통 취급하는거
809,1776945,야 근데 비트코인 채굴량이 결국 0에 수렴하게 되면 어쩌냐 ㅇㅇ ?
813,1776951,위믹스 반등끝 ㅋ 번지대완성 ㅋㅋ
814,1776954,위믹스 욕나오는거보니 빗반꿀 시전해야지
838,1776997,이오스 오늘 경주마다 사놔라
852,1777020,"美 핫도그 음식점, 도지코인으로 결제시 50% 할인 행사"
854,1777022,이더 왜 저러러는거야 ㅋㅋㅋ 어디가노?
859,1777035,위믹스 물린애들 다 나오려면 4000직행임 ㅋㅋ
876,1777064,5억 솔라나 몰빵 괜찮냐?
890,1777088,리플 스텔라는 왜 제자리냐??
894,1777094,어어 비트 점마 어디가노
895,1777095,플로우 지금 타면 쏘나요?
910,1777127,비트코인창시자가 비트코인 전부 회수해가면 
939,1777185,얘들아 근데 박도지방 광고충저거
945,1777200,스텔라는 왜 오르든 떨어지든 제자리냐?
948,1777204,나도 박도지 정보방 주소 좀 줘봐 구경이나 해보자
961,1777224,근데 플로우는 기대도 안했는데 올라서 좋고
966,1777239,도지에 싸줘를 본 이후
977,1777272,나스닥 달나라가는데 비트는 왜꽂음?
978,1777274,놀랍게도 비트 9일연속 빨간불떠있음 씹 ㅋㅋㅋㅋㅋ
995,1777305,엔진이 맨날 오른다
1006,1777327,솔라나 버려졌나 ㅠㅠ
1009,1777334,솔라나 루나 이런거 사서 4~5개월 기다리면 최소 손해는 안 보지 않음?
1015,1777348,롱충이들 세배하다 코인생각에 얼굴 씨뻘게지게 비트 나락갔으면 좋겠다.
1021,1777363,솔라나 시발 ㅠㅠㅠㅠ검색 좀 해볼걸
1051,1777418,결국 이더리움 다시 400만 가것네 ㅆㅂ
1061,1777446,십새끼들아 비트 떡상했다매
1069,1777456,상승추세 유통기한 다가왔다 비트 폭락옴 
1079,1777470,2/3일 비트코스 폭락예정
1089,1777484,솔라나 폴카닷 샌박 플로우 테조스 아늑하다
1091,1777488,이더리움 시동 걸리면 어케 되는 줄 알제??
1105,1777512,메탈 너무달다
1114,1777526,체인링크 언급도 잘없고 욕뿐이길래 타봤는데
1118,1777534,솔라나 165달러 간단다
1122,1777541,오늘 위믹스다 
1126,1777550,고래형들 조카용돈줘아해서 비트곧다팔듯
1141,1777579,이더 2.0 되면 머가 달라지냐 
1143,1777584,고급정보준다 루나 숏스퀴즈끝낫다 숏진입해라
1153,1777607,앵커 0.8선 못뚫는거 개불안한데
1196,1777681,위믹스 산놈들 니들은 ㅈ됐다 이유 ㄷㄷㄷ
1241,1777754,루나 느금마빔 모르는 흑우없제?
1243,1777757,속보) 루나 대표 패드립 사과문 업로드......
1252,1777773,미국주식 개떡상했던데 오늘 비트장 기대해봐도돼??
1261,1777785,코린이 비트코인 공부 시작하려는데
1270,1777808,위믹스시작하자마자2퍼쏟는거애미없음?
1282,1777825,카이버 뭐있냐 뭔데 시바 1555때 팔았다고!!!
1287,1777833,플로우는 옳다
1289,1777835,도지 이거 호재야????
1293,1777840,핫도그 도지랑 손잡음
1300,1777853,플로우 갔고 엑시타라
1304,1777860,위믹스 저러다 양전하면 난리나겠다 ㄷㄷ
1307,1777863,도지 3일존버중 수익 0  시발 도지년아
1309,1777867,빨리꼴아박아라 비트 시발련아
1310,1777868,위믹스는 망했냐??
1320,1777881,위믹스 씹련은 오늘도 하방찍네 하 씨발..
1328,1777891,이더리움 손실본거 거의 복구됫네 조금만
1330,1777894,이클 올라갈때 안됐나
1339,1777906,위믹스 존나ㅍ고싶네
1340,1777907,조심들해라 이더 빠진다
1365,1777943,플로우 푸근하다
1368,1777947,넴이 오른다
1371,1777952,지난주 이더리움 손실 -3억이였는데 거의 복구됫네 
1375,1777957,비캐 이좆같은 코인은 올라간적도 없으면서 씨발진짜
1379,1777965,선물 바인내스 vs 비트겟 어디가 더 나음?
1389,1777980,넴 왜저러냐 무빙
1393,1777985,넴 살까 플로우살까
1396,1777990,에ㅡ미뒤진 체인링크
1400,1777994,위믹스 또오른만큼다빼네 애미창련이 
1406,1778001,코스모스는 비트 반대로 가는 거 알제????
1410,1778008,앵커 다신안올 숏자리 0.08050
1413,1778011,플로우 18000층 거주자다
1415,1778013,세뱃돈 비트코인으로 받는다고 하니까
1421,1778021,어제 비트 떡상한 유력한 이유가 뭘까 형들??
1432,1778036,지금 플로우사는새끼들이 시드갈리는새끼들 ㅋㅋ
1434,1778039,플로우 쏜다고 해서 업비트 깔았다
1435,1778040,플로우 14000층 홀더 슬슬 웃음기 돌아온다
1436,1778042,위믹스쏜다!! 
1441,1778052,고수들은 지금 이순간에도 차근차근 이오스를 주워 담고있다
1445,1778059,위믹스 회장님 오셨나보다 ㅋㅋ
1448,1778066,와 넴은 진짜 개 좆 병신이네 ㅋㅋ
1453,1778075,플로우 월봉 최저점..대표코인이라매 수백배상승
1459,1778084,플로우랑 코스모스랑 대결이네…
1461,1778088,플로우 강력한 한방 없냐?
1466,1778094,전세계 설날이라 비트 안움직이자나 병신들 ㅉㅉ
1469,1778101,플로우도 엑시마냥 가면 100만원이상 찍어야
1492,1778146,위믹스 형이다 댓글 달고 계좌랑 개추 번호 불러라
1503,1778162,호재)) 버거년들 세뱃돈으로 도지 풀매수중
1508,1778168,넴 시발 ㅋ
1509,1778171,솔라나구조대언제오냐..
1515,1778183,솔라나에어드랍멋지다멋져..
1518,1778188,솔라나 1:1에어드랍 홀더들축하한다
1520,1778190,솔라나 망한거 아니였냐?
1521,1778192,솔라나11.2에삿다
1523,1778194,카이버 달리는중이다 병신들아
1527,1778198,위믹스 << 이 십장애인 코인 왜안오르냐
1531,1778202,카이버가 진짜네 뒷배가 뭐길래 저래오르노ㅋㅋ
1536,1778208,카이버 매집 이미 다 끝난 코인이다 지금타라
1541,1778215,솔라나 오늘 135000까지 쏠듯 개십호재있음
1547,1778228,2월3일 영국 금리인상 있다 비트 코인 숏쳐라
1550,1778232,지금 비트 39k 뚫을려고 매집중인가?
1551,1778236,아 솔라나 왜 오르나했네
1552,1778237,도대체 왜 플로우를 냅두고 위믹스를 들고있는거임?
1559,1778248,방금 비트 3000개 바이낸스에서 어디로 이동됐다는데
1579,1778277,형이말했다 비트 꼬시기다 2월3일 이후 꼬라박는다 
1581,1778279,에이다로 예측해보는 비트방향
1592,1778301,속보)리플 회사 이사장 2리플로 분식집 핫도그 결제 시스템 도입
1597,1778310,"이더리움은 각종 편법,불법,요행, 수단과 방법을 가리지않고 철판깔고"
1602,1778318,솔라나 오류패치 했다매?
1613,1778335,위믹스시발련아 니차례다
1615,1778338,사회에서 비트코인 갤러리한다고 하면 어떻게 됨?
1616,1778339,지금 유튜브에서 리플 방송하는데 뭐냐?
1628,1778357,솔라나 긁어라 애들아
1635,1778368,위믹스 이 씹련은 무슨 매일 하락률 1위냐?
1646,1778380,머스크형님 테슬라 다시 비트코인으로 결제되게해줘요
1665,1778412,리플 해킹사건 실시간 (설명)
1683,1778437,엠블사라
1689,1778446,플로우 15000~2만원 함 가즈아
1696,1778455,시이이이이발 비트오를수록 내 인생도 존나게 거꾸로 가네 시이이이발
1699,1778459,리플 오늘 노빠꾸로 1달러 뚫는다
1703,1778464,에이브 카이버네트워크 심상치않다
1710,1778477,이더 잘가누 너무좋다야
1712,1778480,솔라나 겁나 사고싶다
1716,1778487,내가 익절하자마자 쏘는 이더련
1731,1778511,위믹스 씨발년아 일어나 !!!!
1738,1778525,엠블사라
1742,1778531,솔라나 솔라나?했더만 쏘기시작햇다.탑승하라
1743,1778532,이더 솔라나 십스캠 둘이 쏜다
1747,1778538,이더 갈끄니깐~~~~~~~~~~~~~~~~~
1753,1778546,이더보니까 상승장 맞는것 같기도하고..
1765,1778563,아 이더 개빡취네
1766,1778565,이더 달나라 갈끄니까~~~~~~
1767,1778566,이더랑 나선 다시 디커플링임? 왜쳐오름?
1773,1778577,위믹스  슬금슬금 쏩니다. 다들 사두십쇼
1774,1778579,카이버 무슨호재인데 자꾸오르는거냐고 묻자나ㅡㅡ
1783,1778591,디센은 비트가 개처박지 않는 이상 계속 오를 것 같음
1784,1778593,캬 이더 오르니깐
1790,1778601,솔라나 롱 77ㅓ억
1791,1778602,오늘 이더 50퍼 간다 
1802,1778615,"상승장 확정인것 같은데 코인 뭐사냐 코스모스,루나, 솔라나 정도?"
1815,1778630,지금 비트올리는 이유 레알임
1819,1778636,위믹스 이제안오르냐??
1821,1778638,속보)) 급식 버거들 세뱃돈 받아서 도지 풀매수중
1825,1778642,이더 8백 박았는데
1826,1778643,리플 이거 진짜냐?
1827,1778644,솔라나에서 세뱃돈줬네
1831,1778650,비트적정가3천 이더 18만
1835,1778657,비트이더 전고간다 지금이라도 타라 인증간다
1836,1778658,형들 아르고 물렸는데
1840,1778663,샌박디센 빠지고 솔라나쏘는거보니까 운전수 솔라나로온듯
1844,1778667,솔라나 일대일 에어드랍 예정잡힌거 실화냐?
1847,1778672,아니 솔라나 어디까지 가냐..
1851,1778676,솔라나 에어드랍때문에 오르는거 아님
1860,1778689,솔라나 네트워크 기술 고친거 맞아??
1861,1778690,와 비트 미쳤다 
1868,1778702,루나 숏 5배인데 좆 됐네 
1874,1778710,루나 ㄹㅇ 지리네
1876,1778713,솔라나가 그나마 살려주는구나
1880,1778718,솔라나로 원금복구다했다 -5천손해본거 5천다매꿨음 고맙다!!
1882,1778722,솔라나 츼금이니!
1884,1778724,솔라나 애미 쳐죽은 씹스캠새끼 오르는거봐라
1890,1778733,이더 가즈아~~
1892,1778737,솔라나 타라
1894,1778740,씹근본코인 솔라나 네트워크 문제 해결되자말자 ㅋㅋ
1895,1778741,솔라나 이쯤돠면 무섭다
1900,1778751,이더 사도 되냐
1902,1778756,솔라나 오늘 165달러 갈수도 ㅇㅇ
1903,1778757,솔라나 대장이 천천히 우상향 하거나 횡보만 해줘도
1905,1778759,이더리움 능가하는 솔라나
1908,1778763,네트워크고친 솔라나는 신이다
1913,1778771,솔라나 평단 22였는데 11때 물타서 13찍음 ㅋㅋㅋㅋ
1916,1778777,루나 씨발 선발대만 보내놨는데
1921,1778782,웃기네 비트코인ㅋ
1942,1778815,루나 2022년 최저점이다 인생역전 가자
1945,1778825,지금 비트 숏자리다 숏쳐라
1946,1778826,루나가 주봉으로 40프로씩 제끼는 놈인데 믿고 사야지
1947,1778827,솔라나 이제 쏘는구만 드가자 ㅋㅋㅋㅋㅋ
1950,1778831,루나 2022년 최저점이다 20만원 간다
1953,1778834,리플 770을 못뚫네
1957,1778841,루나 20만원 간다 믿어봐라
1959,1778845,말했다 오늘 숏충이들 청산시킬라고 ㄹㅇ 오늘 비트만 5000간다고
1971,1778859,리플은 왜 움직이질않냐
1973,1778861,솔라나 너무달아~
1974,1778862,이더가 미래다
1978,1778870,솔라나 개씹스캠이라고 빗갤에 도배될때 매수해서 +25퍼 ㅋㅋ
1979,1778871,위믹스는 왜 가만있냐 불장인데
1982,1778874,루나 2022년 최저점 풀매수
1985,1778878,아오씨 솔라나나 계속 탈걸
1987,1778880,위믹스 지금이라도 팔고 다른거 사야하나 씨발
1989,1778882,늦게라도 솔라나탔다 대불장 가즈아~
1990,1778883,루나 설거지 느낌나네
1991,1778885,얘들아 도와줮 솔라나
1992,1778887,위믹스좀 던져라 
1998,1778893,플로우 엑시따까리 븅신새끼 상폐해라 
2008,1778909,솔라나 샀다 그래서 13만 9백원에 던짐
2012,1778913,이더 폭락중이네
2013,1778914,떡락해라 비트ㅇㅇㅇ
2048,1778959,솔라나 운지중 컄ㅋㅋㅋ
2063,1778979,솔라나로 거래소도 만들고...에어드랍도
2081,1779000,리플이 비트코인보다 잘 오르네
2106,1779034,세뱃돈으로 비트코인 질렀는데 평가좀.jpg
2112,1779041,주의) 현재 비트파이넥스 해킹당한 BTC 이동
2131,1779067,솔라나 만능보물창고??
2136,1779073,진짜 빚붕이 옆에두고 비트 오를때마다
2143,1779081,속보) 비트 30000개 이동
2145,1779083,이더리움2.0 스테이킹한다
2164,1779105,위믹스 만원언제찍어?
2186,1779143,재드래곤 정도면 비트 운전기사 할수있음?
2194,1779155,솔라나 품귀현상 생길까?
2208,1779173,코인 30년차 전업 트레이더 형이야
2213,1779179,야 비트 4만개 뺏는데 초대형고래가?
2222,1779192,이더 폭락 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2232,1779205,와 .. 이더 폭포수처럼 떨어지네
2248,1779227,곧 이더 0에 수렴합니다 숏치면 강남에 집삽니다 약속의 3시 @@
2249,1779228,♥+도지❤300까지 튀어오른다 ❤❤
2304,1779313,해커 비트코인 지금까지 10만개정도 이동함
2312,1779325,빗썸 비트코인 유의종목지정
2316,1779332,루나처럼 장기간 ㅈ빠지게 오를 알트 알려준다
2331,1779349,이더 290만일때 살껄...
2336,1779358,클레이튼 관련 디파이 알트코인 
2348,1779374,아니 븅신들아 해킹당한 비트 지갑 이동했는데 안던지겠냐? ㅋㅋㅋㅋㅋㅋㅋㅋ
2355,1779386,해킹당한 비트코인 폭탄 터지겠네..
2377,1779414,진지하게 이더는 비전 있는거 아니냐
2383,1779421,도지 2달러 간다
2390,1779430,카이버 미친년은 비트무빙 좆도 신경안쓰고 가네
2429,1779478,샌박 플로우 할꺼 같은데 풀숏박아야지
2451,1779505,근데 해킹이 진짜라면 비트 ㅈ된거 아님?
2457,1779511,이제 비트 1%떨구는 걸로는 알트들 반응을 안하내
2483,1779545,위믹스처럼 갈만한 코인 추천해준다 형 믿고 사봐라 ㅋㅋ
2502,1779570,병신들아 위믹스 사라했다 ㅋㅋ
2509,1779582,위믹스 = 엑시ㅋㅋㅋ스캠 권유하는 사람들
2525,1779607,솔라나 일대일에어드랍하내 대박이내 
2526,1779608,"루나,위믹스 처럼 갈만한 코인 알려줄테니까 믿고 사라.Fleta"
2527,1779611,솔라나 에어드랍 ㄷㄷ오늘 솔라나 15만가는부분이냐
2529,1779613,솔라나ㅋㅋㅋㅋㅋ에어드랍ㅋㅋㅋㅋㅋ15만가는건가
2533,1779620,아 비트코인 끝난거 맞네
2546,1779641,솔라나에 말뚝박으면 에어드랍이 우수수 떨어지는건가?
2571,1779675,솔라나일대일에어드랍ㅋㅋ솔라나들고잇으면 에어드랍준단다
2580,1779685,펀디 드디어 오늘 날아가나 ㅋㅋ
2581,1779686,솔라나  일대일 에어드랍이면.. 최소 17~25가지싶다
2583,1779690,위믹스 개 씨발련아
2593,1779702,비트지옥가면 솔라나일대일에어드랍도 무의미
2601,1779713,펀디엑스.갑자기 왜저래??
2606,1779718,이더 다시 오른다
2618,1779737,솔라나  일대일에어드랍은..
2628,1779749,"루나,위믹스 처럼 길고 굵게 오를만한 코인 알려준다"
2637,1779760,도지 물린 사람들 평단 몇임?
2639,1779763,"엑시, 위믹스, 플라이, 파워렛져"
2646,1779772,체인링크 29.8 숏인데
2653,1779782,"스태그,인플레이션 곧 터진다. 비트코인, 희소가치현물 무조건 미친듯뛴다"
2655,1779784,솔라나 일대일에어드랍 어케보냐니그들은?
2672,1779803,도지 이제 곧 간다ㅋㅋㅋㅋ봐라ㅋㅋㅋ
2673,1779804,떨구려면 그래도 한번은 올리고 내리겠지. 난 비트 믿어. 샌박 믿어.
2702,1779847,이더 니어 1인치 알고랜드 테조스 픽좀
2725,1779878,이더 7프로 수익 상태인데 슬슬 익절할까?
2752,1779912,씨발 위믹스 이새끼는 왜 항상 하락률1위냐 씨발
2757,1779920, 솔라나 20만 홀드
2774,1779941,스텔라vs샌박
2775,1779943,"위믹스, 엑시"
2780,1779949,"해킹당한 비트코인 60,000개 이동했네"
2794,1779967,빗썸에서 싸이클럽 이거 좆된거냐
2796,1779969,솔라나 애미 ==창녀
2809,1779990,리플이나 스텔라를 산다는 건
2823,1780012,위믹스 1만원에 물렸는데 가망없냐... 학비내야하는데
2825,1780015,위믹스 내일 오후 9시쯤 만원 언저리 간다
2848,1780047,코인 트레이더 여러분
2860,1780063,위믹스타면서 징징은 머냐
2867,1780072,위믹스 쏜다~~ 씹근본이네 ㅋㅋㅋㅋ
2874,1780084,위믹스 개쏜다 타라
2876,1780086,진짜 비트 병신사 ㅇ키 나스닥 존나따라가네
2879,1780090,솔라나
2881,1780092,와 위믹스 미쳤냐 ㅋㅋㅋㅋㅋㅋㅋㅋ 빨리드가즈
2883,1780096,위믹스 쏜다 = 50원 오른다
2884,1780099,위믹스충들 또발작하네
2885,1780100,위믹스 조롱이 극에 달했다
2886,1780102,진짜 궁금해서 그러는데 위믹스 홀더들은 거의 정신병자가 대부분이냐?
2888,1780104,위믹스충들 진짜 애잖하네 ㅋㅋㅋㅋㅋ
2890,1780107,위믹스타라는새끼들 정체…
2891,1780108,위믹스는 6500이상에서 사는거 아니다
2896,1780115,야위믹스머가미쳣다는거냐 ㅂㅅ새끼들아
2897,1780116,씨바 메디 도지 위믹스 싸이 4대장 씹근본 불탄다 ㅋㅋㅋ
2900,1780120,위믹스 어데가노 ㅋㅋㅋ 우주가노 이기
2901,1780121,폭락이후 샌박>헌트>솔라나>엑시>코스모스 수익중인데
2903,1780123,그러게 노름이 머라고 위믹스 같은거 고점매수해서
2904,1780124,솔라나 ㅁ시밯랸아!!!!!!!!@@!@@!@!@@!!
2907,1780127,오늘의단타 샌박 (위믹스충새끼들아 그냥 기술적반등이야)
2910,1780131,메디 위믹스 쏜다~~ K코인 만세다~~~ 달다달어
2911,1780132,코인판시장분석 및 향후동향 팩트로 말해줌 <- 이거 리플임
2917,1780139,빗썸 바이비트 리플 출금주소 왜자꾸 사용불가 뜨냐
2920,1780146,목요일 주식 개장하면 위믹스 9000 간다
2921,1780148,위믹스 11%에서 -2프로 폭등함 ㅋㅋㅌㅌ 얼렁타라 돈복사 시발
2927,1780155,진짜지금이 기회다 이제 못볼 평단이다 위믹스사라
2937,1780171,위믹스 상승으로 하나 남은 스캠
2944,1780182,리플 도지 조용한거 보니까 존나 불안하노
2946,1780184,현실은 위믹스 빼고 다 오르네...
2950,1780189,위믹스 이새끼는 언제 양전하는거냐 씨발
2956,1780195,솔라나 30층 구조대 오는구나 ㅅ ㅅ ㅅ ㅅ
2957,1780196,솔라나 600만익절ㅋㅋㅋㅋㅋㅋㅋㅋ기대도안햇는데머선일이고
2962,1780204,솔라나 달다 달아
3002,1780260,위믹스 빼고 불장이네
3012,1780273,영끌 해서 비트 사라
3026,1780290,위믹스 씨발
3027,1780291,???:해킹이 어쩌구.. 비트코인10000개가 어쩌구..
3031,1780295,솔라나 숏잡았는데
3035,1780302,모든코인 (위믹스제외) 쳐달리는중 개불장이다
3038,1780305,코인 선택은 비록 스텔라지만 그래도 만족이다..
3045,1780314,카이버 네트워크 개미쳤노
3053,1780322,이더회복 매수세 둘다 완벽하네
3064,1780334,도지 봇도는데 가슴 설레네
3076,1780349,위믹스 일봉차트 봐라 ㅋㅋ 조정 끝나간다
3098,1780377,안오른거 안사고 또 솔라나 상투잡은 호구 있냐
3099,1780378,아니 솔라나 매도벽 뭔데
3104,1780384,루나 기술적 반등 끝나고 상승 힘이 없다. 아무리봐도
3135,1780421,도지 꿈틀
3150,1780439,솔라나 세력 어매좆집창련 내일 교통사고나서 팔잘림
3153,1780442,루나 달달하다 숏 하 개맛있어
3166,1780456,위믹스 엑시 줍는 사람도 있냐?
3182,1780478,어우 리플 존나잘팔앗네 ㅋㅋㅋ
3187,1780483,현재 비트무빙 근황..
3199,1780496,결국 오늘 비트 운명도 나스닥 장 열리면 결정되겠네
3216,1780520,도난당한 비트코인 던진거아니냐 씨발
3226,1780535,도지핫도그시팔아
3251,1780567,이더 ㅈㄴ 잘버티지않냐?
3281,1780604,솔라나 개망코인 왜올랐냐
3295,1780620,솔라나 5번째진입 5연승ㅋㅋㅋ개꿀이다 이것도먹으면십레전드
3306,1780633,위믹스 씨발련아 죽여버린다
3313,1780644,비트피넥스랑 바낸에서 비트 3조
3327,1780666,아까 비트 38.2까지 떨구고 39.1까지 갓을때 센티넬 천국의계단
3332,1780674,고민하지말고 ㅋㅋ 이더리움넣어 ㅋㅋㅋ
3379,1780740,어제에 이어 오늘도 뻐큐날려주는 비트코인.jpg
3387,1780753,해킹당한 비트에 코드가다잇어서 못판다 거래소에서안받아줌
3388,1780754,체인링크는 뒈졌나봄
3391,1780758,도지 어때보여
3393,1780760,도지 근본코인맞지?
3395,1780764,리플 시발놈의코인
3416,1780788,와 비트코인 처음해보는데 하루만에 5천만원 날렸다 ㅋㅋㅋ
3419,1780791,"잎으로 솔라나,루나 처럼 수십배이상 오를만한 코인 알려줌.Buy"
3435,1780818,이저 이더리움이 대장 같으면 개추ㅋㅋㅋㄱㄱㄱ
3436,1780819,도지 30개면 사먹을 수 있냐?
3454,1780843,위믹스 계단식떡락 입갤 ㅋㅋㅋ
3470,1780864,오늘 나스닥도 하방이면 비트코스는 두배로떨어지겟네
3483,1780888,솔라나세력 어매 좆집창련이요
3484,1780891,솔라나 스캠이라고 까이더니 연일 떡상이노
3504,1780920,솔라나 에어드랍ㅋㅋㅋ뉴스봤냐? 단기17만본다
3519,1780944,아무래도 비트코인 마진거래 사기 당한것 같다
3534,1780970,설마 비트 와리가리에 털린 간이 한남소추 흑산도 흑두루미 없제? ㅋㅋ
3595,1781064,루나 매매하면서 느낀건데 비트코인이 올라가면 루나는 왜 떨어짐?
3611,1781091,솔라나는 신이야!!!!!
3627,1781116,아래로 가던길 가자 비트야..... 왜 슬슬 올라오냐? ㅠㅠ
3629,1781119,솔라나 오르는거보니깐 롱이다 -----------오늘40k 간다
3632,1781122,솔라나 타놔라 ㅋㅋㅋㅋ 나중에 배아파하지말고 ㅋㅋ 이제 시작이다
3640,1781136,솔라나는 신이다 새기들아
3647,1781146,위믹스 지옥식계단운지 ㅋㅋㅋㅋㅋㅋ
3650,1781150,시발 ㅠㅠ 또 물렸네 에라이 시발 솔라나년 
3675,1781185,위믹스 쏜다!
3677,1781189,위믹스 간다
